,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
0,1,1,46.0,0,0,113043,28.5,2.0,0
1,2,1,23.0,0,0,28425,13.0,2.0,0
2,3,1,32.0,0,0,23101293,7.925,2.0,0
3,3,1,26.0,1,0,350025,7.8542,2.0,0
4,3,0,6.0,4,2,347082,31.275,2.0,0
5,1,1,24.0,0,1,17558,247.5208,0.0,0
6,1,1,45.0,0,0,113050,26.55,2.0,0
7,2,1,29.0,1,0,2167,27.7208,0.0,0
8,3,1,30.0,0,0,349216,7.8958,2.0,0
9,1,1,30.0,0,0,19947,35.5,2.0,1
10,2,0,42.0,0,0,236852,13.0,2.0,1
11,3,1,36.0,1,1,345773,24.15,2.0,0
12,2,1,33.0,0,0,1585,12.275,2.0,0
13,3,1,17.0,1,0,350048,7.0542,2.0,0
14,3,1,29.0,0,0,345779,9.5,2.0,1
15,2,0,50.0,0,1,230433,26.0,2.0,1
16,1,0,35.0,1,0,19943,90.0,2.0,1
17,1,0,38.0,0,0,17757,227.525,0.0,1
18,2,1,34.0,0,0,250647,13.0,2.0,0
19,1,0,17.0,1,0,17474,57.0,2.0,1
20,3,0,11.0,4,2,347082,31.275,2.0,0
21,3,1,61.0,0,0,345364,6.2375,2.0,0
22,3,0,30.0,0,0,315084,8.6625,2.0,0
23,2,0,7.0,0,2,13529,26.25,2.0,1
24,3,0,63.0,0,0,4134,9.5875,2.0,1
25,3,1,20.0,0,0,2663,7.2292,0.0,1
26,3,0,30.0,0,2,2668,22.3583,0.0,1
27,3,1,29.0,0,0,7545,9.4833,2.0,0
28,1,1,36.0,1,2,113760,120.0,2.0,1
29,3,1,30.0,0,0,2627,14.4583,0.0,0
30,3,1,50.0,0,0,53594,8.05,2.0,0
31,1,1,27.0,0,2,113503,211.5,0.0,0
32,3,1,30.0,0,0,7076,7.25,2.0,0
33,1,0,33.0,1,0,19928,90.0,1.0,1
34,3,1,30.0,0,0,36209,7.725,1.0,0
35,3,0,30.0,3,1,4133,25.4667,2.0,0
36,3,1,2.0,3,1,349909,21.075,2.0,0
37,2,0,25.0,1,1,237789,30.0,2.0,1
38,1,1,51.0,0,1,17597,61.3792,0.0,0
39,2,0,25.0,0,1,230433,26.0,2.0,1
40,3,1,30.0,0,0,434244,7.25,2.0,0
41,3,1,30.0,0,0,349215,7.8958,2.0,0
42,2,0,24.0,0,0,248747,13.0,2.0,0
43,3,1,18.0,1,1,370129,20.2125,2.0,0
44,1,1,30.0,0,0,19988,30.5,2.0,1
45,3,1,25.0,0,0,392076,7.05,2.0,0
46,2,0,24.0,0,2,250649,14.5,2.0,1
47,3,1,22.0,0,0,350060,7.5208,2.0,0
48,1,1,1.0,1,2,113781,151.55,2.0,1
49,2,0,24.0,1,0,244367,26.0,2.0,1
50,3,0,26.0,0,0,23101282,7.925,2.0,1
51,2,1,34.0,1,0,28664,21.0,2.0,0
52,1,0,21.0,2,2,17608,262.375,0.0,1
53,3,1,30.0,0,0,384461,7.75,1.0,0
54,3,0,30.0,0,0,2626,7.2292,0.0,1
55,3,1,30.0,0,0,315037,8.6625,2.0,0
56,3,0,22.0,0,0,347085,7.775,2.0,1
57,1,0,62.0,0,0,113572,80.0,-1.0,1
58,3,0,18.0,0,0,4138,9.8417,2.0,1
59,1,0,42.0,0,0,17757,227.525,0.0,1
60,2,1,57.0,0,0,219533,12.35,1.0,0
61,3,1,19.0,0,0,,0.0,2.0,0
62,2,0,42.0,1,0,3085,26.0,2.0,1
63,3,1,30.0,0,0,2624,7.225,0.0,0
64,3,0,20.0,0,0,315096,8.6625,2.0,0
65,3,1,34.0,0,0,2683,6.4375,0.0,0
66,3,1,28.0,0,0,345783,9.5,2.0,0
67,3,1,30.0,0,0,2816,8.05,2.0,0
68,3,1,23.0,0,0,349204,7.8958,2.0,0
69,3,1,22.0,0,0,521174,7.25,2.0,0
70,1,1,52.0,0,0,113786,30.5,2.0,1
71,3,0,30.0,0,0,364516,12.475,2.0,1
72,2,1,36.0,0,2,230080,26.0,2.0,0
73,3,1,30.0,0,0,364851,7.75,1.0,0
74,3,1,22.0,0,0,2669,7.2292,0.0,0
75,1,1,50.0,2,0,17611,133.65,2.0,1
76,3,1,27.0,0,0,347089,6.975,2.0,1
77,3,1,22.0,0,0,14973,8.05,2.0,0
78,1,0,51.0,1,0,13502,77.9583,2.0,1
79,2,1,36.0,0,0,17248,10.5,2.0,0
80,2,0,29.0,1,0,228414,26.0,2.0,1
81,1,0,22.0,0,0,113781,151.55,2.0,1
82,1,1,50.0,1,0,17761,106.425,0.0,0
83,2,0,40.0,0,0,31418,13.0,2.0,1
84,3,1,27.0,0,0,315098,8.6625,2.0,1
85,1,1,30.0,0,0,112052,0.0,2.0,0
86,1,1,65.0,0,0,13509,26.55,2.0,0
87,3,1,17.0,0,0,315086,8.6625,2.0,0
88,1,1,28.0,0,0,110564,26.55,2.0,1
89,1,1,4.0,0,2,33638,81.8583,2.0,1
90,3,1,30.0,0,0,349221,7.8958,2.0,0
91,3,0,1.0,1,1,347742,11.1333,2.0,1
92,2,1,36.0,1,2,34651,27.75,2.0,0
93,2,1,43.0,1,1,13529,26.25,2.0,0
94,1,1,38.0,0,1,17582,153.4625,2.0,0
95,2,0,31.0,1,1,31921,26.25,2.0,1
96,3,1,29.0,0,0,343276,8.05,2.0,0
97,3,1,18.0,0,0,2223,8.3,2.0,0
98,2,1,30.0,0,0,2131,15.05,0.0,0
99,1,0,39.0,1,1,17421,110.8833,0.0,1
100,2,1,39.0,0,0,28213,13.0,2.0,0
101,3,1,26.0,2,0,315151,8.6625,2.0,0
102,3,1,20.0,0,0,3101307,7.05,2.0,0
103,1,0,30.0,1,0,17611,133.65,2.0,1
104,3,1,49.0,0,0,,0.0,2.0,0
105,2,1,23.0,0,0,2133,15.0458,0.0,0
106,3,1,1.0,4,1,3101295,39.6875,2.0,0
107,3,0,30.0,0,0,330959,7.8792,1.0,1
108,3,1,30.0,1,2,6607,23.45,2.0,0
109,2,1,3.0,1,1,230080,26.0,2.0,1
110,3,1,4.0,1,1,347742,11.1333,2.0,1
111,3,1,19.0,0,0,348124,7.65,2.0,0
112,3,1,40.0,0,0,367232,7.75,1.0,0
113,3,0,1.0,0,2,2653,15.7417,0.0,1
114,3,0,30.0,0,2,2678,15.2458,0.0,0
115,3,1,21.0,0,0,23101280,7.925,2.0,0
116,1,1,54.0,0,0,17463,51.8625,2.0,0
117,3,1,30.0,0,0,36568,15.5,1.0,0
118,2,1,25.0,1,2,2123,41.5792,0.0,0
119,3,1,26.0,1,0,2680,14.4542,0.0,0
120,3,0,22.0,0,0,7552,10.5167,2.0,0
121,3,0,31.0,1,1,363291,20.525,2.0,1
122,1,1,49.0,1,0,17453,89.1042,0.0,1
123,2,1,19.0,1,1,33112,36.75,2.0,0
124,2,1,24.0,0,0,29566,10.5,2.0,0
125,3,1,16.0,0,0,392089,8.05,2.0,1
126,1,1,25.0,1,0,11765,55.4417,0.0,1
127,3,1,39.0,0,0,448871,24.15,2.0,0
128,3,0,47.0,1,0,53337,14.5,2.0,0
129,1,1,60.0,0,0,113800,26.55,2.0,0
130,2,1,24.0,0,0,233866,13.0,2.0,0
131,1,1,30.0,0,0,113767,50.0,2.0,0
132,2,0,27.0,1,0,11668,21.0,2.0,0
133,2,1,30.0,0,0,2146,13.8625,0.0,1
134,3,1,38.0,0,0,349249,7.8958,2.0,0
135,3,1,44.0,0,0,364511,8.05,2.0,0
136,2,0,21.0,0,0,31026,10.5,2.0,1
137,3,0,24.0,0,2,9549,16.7,2.0,1
138,2,0,45.0,0,0,223596,13.5,2.0,1
139,2,1,8.0,1,1,33112,36.75,2.0,1
140,3,0,8.0,3,1,349909,21.075,2.0,0
141,1,1,30.0,0,0,113510,35.0,2.0,0
142,3,1,32.0,0,0,392078,8.05,2.0,1
143,1,1,50.0,1,0,13507,55.9,2.0,0
144,3,1,21.0,0,0,439886,7.8,2.0,0
145,2,0,50.0,0,0,14258,10.5,2.0,1
146,3,0,23.0,0,0,23101290,7.925,2.0,0
147,3,1,32.0,0,0,350417,7.8542,2.0,1
148,3,0,30.0,0,0,382649,7.75,1.0,0
149,3,0,21.0,2,2,6608,34.375,2.0,0
150,3,1,30.0,0,0,370377,7.75,1.0,0
151,3,1,25.0,0,0,2672,7.225,0.0,0
152,3,1,15.0,1,1,2695,7.2292,0.0,0
153,3,0,31.0,1,0,345763,18.0,2.0,0
154,2,1,25.0,0,0,234686,13.0,2.0,0
155,2,1,54.0,0,0,28403,26.0,2.0,0
156,1,1,28.0,0,0,113059,47.1,2.0,0
157,1,0,38.0,0,0,113572,80.0,-1.0,1
158,2,0,41.0,0,1,250644,19.5,2.0,1
159,3,1,33.0,0,0,349239,8.6625,0.0,0
160,2,1,52.0,0,0,248731,13.5,2.0,0
161,3,1,16.0,1,1,2673,20.25,2.0,0
162,3,1,20.0,0,0,52151,8.05,2.0,0
163,3,1,9.0,4,2,347077,31.3875,2.0,0
164,3,1,30.0,0,0,65306,8.1125,2.0,1
165,3,1,30.0,0,0,330979,7.8292,1.0,0
166,3,1,30.0,0,0,349234,7.8958,2.0,0
167,1,0,54.0,1,0,17603,59.4,0.0,1
168,3,1,26.0,0,0,349224,7.8958,2.0,0
169,1,1,60.0,1,1,13567,79.2,0.0,1
170,3,1,30.0,0,0,1601,56.4958,2.0,1
171,1,0,44.0,0,1,111361,57.9792,0.0,1
172,3,1,20.0,1,0,23101285,7.925,2.0,1
173,3,1,30.0,3,1,4133,25.4667,2.0,0
174,2,1,16.0,0,0,3,10.5,2.0,0
175,3,0,43.0,1,6,2144,46.9,2.0,0
176,3,1,17.0,0,0,315093,8.6625,2.0,0
177,1,1,37.0,1,1,11751,52.5542,2.0,1
178,2,1,62.0,0,0,752,10.5,2.0,1
179,3,1,8.0,4,1,382652,29.125,1.0,0
180,3,1,32.0,0,0,1601,56.4958,2.0,1
181,3,0,20.0,1,0,4136,9.825,2.0,0
182,2,0,28.0,0,0,237668,13.0,2.0,1
183,3,0,21.0,0,0,364846,7.75,1.0,0
184,3,1,37.0,2,0,3101276,7.925,2.0,0
185,3,0,17.0,0,0,2627,14.4583,0.0,0
186,3,0,30.0,0,0,14313,7.75,1.0,1
187,1,1,46.0,1,0,5734,61.175,2.0,0
188,3,1,30.0,0,0,6212,15.1,2.0,0
189,3,1,24.0,0,0,343275,8.05,2.0,0
190,1,1,29.0,1,0,113776,66.6,2.0,0
191,1,0,56.0,0,1,11767,83.1583,0.0,1
192,2,1,31.0,1,1,2079,37.0042,0.0,0
193,3,1,30.0,0,0,367228,7.75,1.0,1
194,2,1,32.0,1,0,2908,26.0,2.0,1
195,3,1,33.0,1,1,363291,20.525,2.0,0
196,3,1,59.0,0,0,364500,7.25,2.0,0
197,1,0,58.0,0,0,113783,26.55,2.0,1
198,3,0,30.0,1,0,376564,16.1,2.0,1
199,2,0,3.0,1,2,2123,41.5792,0.0,1
200,3,1,30.0,0,0,349253,7.8958,0.0,0
201,1,0,16.0,0,1,111361,57.9792,0.0,1
202,3,0,45.0,1,4,347088,27.9,2.0,0
203,1,0,43.0,0,1,24160,211.3375,2.0,1
204,1,0,30.0,0,0,17761,106.425,0.0,1
205,3,1,28.0,0,0,54636,16.1,2.0,0
206,3,1,24.0,0,0,350035,7.7958,2.0,0
207,2,1,30.0,0,0,250653,13.0,2.0,0
208,1,1,36.0,0,0,13049,40.125,0.0,0
209,3,1,25.0,0,0,3101312,7.05,2.0,0
210,3,0,30.0,0,2,364848,7.75,1.0,0
211,1,0,50.0,0,0,17595,28.7125,0.0,0
212,3,0,1.0,2,1,2666,19.2583,0.0,1
213,1,0,24.0,0,0,17482,49.5042,0.0,1
214,2,0,24.0,1,2,220845,65.0,2.0,1
215,1,0,35.0,1,0,113789,52.0,2.0,1
216,1,0,30.0,0,0,110152,86.5,2.0,1
217,2,1,23.0,0,0,233639,13.0,2.0,0
218,3,1,30.0,0,0,349225,7.8958,2.0,0
219,2,1,27.0,0,0,244358,26.0,2.0,0
220,2,0,55.0,0,0,248706,16.0,2.0,1
221,1,0,35.0,1,0,113803,53.1,2.0,1
222,3,1,30.0,0,0,394140,6.8583,1.0,0
223,1,0,30.0,0,0,17585,79.2,0.0,1
224,3,1,30.0,1,0,65303,19.9667,2.0,0
225,2,0,23.0,0,0,541,13.7917,0.0,1
226,3,0,30.0,0,0,35852,7.7333,1.0,1
227,1,0,23.0,1,0,35273,113.275,0.0,1
228,3,1,51.0,0,0,21440,8.05,2.0,0
229,2,0,33.0,0,2,26360,26.0,2.0,1
230,3,0,29.0,0,4,349909,21.075,2.0,0
231,3,1,30.0,0,0,349254,7.8958,0.0,0
232,3,1,30.0,8,2,2343,69.55,2.0,0
233,2,0,2.0,1,1,26360,26.0,2.0,1
234,2,0,14.0,1,0,237736,30.0708,0.0,1
235,2,1,54.0,1,0,244252,26.0,2.0,0
236,3,0,15.0,0,0,330923,8.0292,1.0,1
237,1,0,22.0,0,1,113505,55.0,2.0,1
238,2,1,27.0,0,0,220367,13.0,2.0,0
239,3,1,30.0,0,0,349214,7.8958,2.0,0
240,1,1,30.0,0,0,112379,39.6,0.0,0
241,2,0,28.0,1,0,3381,24.0,0.0,1
242,3,1,39.0,0,0,3101296,7.925,2.0,0
243,2,1,2.0,1,1,230080,26.0,2.0,1
244,3,1,24.0,1,0,376566,16.1,2.0,0
245,3,1,32.0,0,0,349242,7.8958,2.0,0
246,3,1,46.0,0,0,2628,7.225,0.0,0
247,2,0,8.0,0,2,31921,26.25,2.0,1
248,3,1,26.0,1,2,2315,20.575,2.0,0
249,1,0,29.0,0,0,24160,211.3375,2.0,1
250,2,0,45.0,1,1,13529,26.25,2.0,1
251,3,0,36.0,1,0,345572,17.4,2.0,1
252,1,1,30.0,0,0,113056,26.0,2.0,0
253,3,0,4.0,0,2,315153,22.025,2.0,1
254,2,1,16.0,0,0,239865,26.0,2.0,0
255,1,1,58.0,0,0,11771,29.7,0.0,0
256,3,1,40.0,0,2,5851,14.5,2.0,0
257,3,1,25.0,0,0,348123,7.65,2.0,0
258,3,1,30.0,0,0,349223,7.8958,2.0,0
259,3,1,51.0,0,0,347743,7.0542,2.0,0
260,2,1,30.0,0,0,239853,0.0,2.0,0
261,3,0,17.0,4,2,3101281,7.925,2.0,1
262,3,1,30.0,0,0,368323,6.95,1.0,0
263,3,1,40.0,1,1,364849,15.5,1.0,0
264,3,1,25.0,0,0,,0.0,2.0,1
265,1,1,47.0,0,0,5727,25.5875,2.0,0
266,1,1,30.0,0,0,113028,26.55,2.0,0
267,2,1,44.0,1,0,26707,26.0,2.0,0
268,1,0,23.0,3,2,19950,263.0,2.0,1
269,2,1,18.0,0,0,29108,11.5,2.0,0
270,2,1,29.0,1,0,11668,21.0,2.0,0
271,3,1,12.0,1,0,2651,11.2417,0.0,1
272,3,1,11.0,0,0,2699,18.7875,0.0,0
273,3,0,22.0,0,0,370373,7.75,1.0,1
274,2,1,19.0,0,0,28665,10.5,2.0,0
275,3,1,22.0,1,0,521171,7.25,2.0,0
276,3,1,33.0,0,0,349257,7.8958,2.0,0
277,1,1,56.0,0,0,113792,26.55,2.0,0
278,2,1,1.0,0,2,2079,37.0042,0.0,1
279,3,1,22.0,0,0,350052,7.7958,2.0,0
280,3,1,30.0,0,0,2641,7.2292,0.0,0
281,3,1,30.0,0,0,370372,7.75,1.0,0
282,3,1,7.0,4,1,382652,29.125,1.0,0
283,3,0,4.0,0,1,349256,13.4167,0.0,1
284,3,1,70.0,0,0,370369,7.75,1.0,0
285,2,1,18.0,0,0,236171,13.0,2.0,0
286,3,1,20.0,1,1,2653,15.7417,0.0,1
287,2,1,24.0,2,0,14879,73.5,2.0,0
288,3,1,30.0,0,0,2664,7.225,0.0,0
289,2,0,34.0,0,0,34260,10.5,2.0,1
290,3,0,30.0,0,0,370375,7.75,1.0,1
291,1,0,31.0,0,2,36928,164.8667,2.0,1
292,3,1,30.0,0,0,349246,7.8958,2.0,0
293,2,1,18.0,0,0,231945,11.5,2.0,0
294,3,0,9.0,3,2,347088,27.9,2.0,0
295,1,0,39.0,1,1,110413,79.65,2.0,1
296,1,0,33.0,1,0,113806,53.1,2.0,1
297,1,1,70.0,1,1,5735,71.0,2.0,0
298,1,0,24.0,0,0,17477,69.3,0.0,1
299,1,0,58.0,0,1,17582,153.4625,2.0,1
300,3,1,21.0,0,0,350029,7.8542,2.0,0
301,1,0,17.0,1,0,17758,108.9,0.0,1
302,3,0,28.0,1,1,347080,14.4,2.0,0
303,1,0,24.0,0,0,11767,83.1583,0.0,1
304,3,1,30.0,0,0,2647,7.225,0.0,0
305,3,1,30.0,1,0,370371,15.5,1.0,0
306,3,1,42.0,0,0,315088,8.6625,2.0,0
307,3,1,18.0,1,0,3101267,6.4958,2.0,0
308,3,0,2.0,0,1,3101298,12.2875,2.0,1
309,2,0,34.0,0,0,243880,13.0,2.0,1
310,3,1,3.0,4,2,347077,31.3875,2.0,1
311,1,0,58.0,0,0,17569,146.5208,0.0,1
312,3,1,32.0,0,0,370376,7.75,1.0,0
313,3,1,31.0,0,0,23101288,7.925,2.0,1
314,3,1,30.0,0,0,312991,7.775,2.0,1
315,2,0,27.0,1,0,2149,13.8583,0.0,1
316,3,1,11.0,5,2,2144,46.9,2.0,0
317,2,1,23.0,0,0,29751,13.0,2.0,0
318,1,1,40.0,0,0,112059,0.0,2.0,0
319,3,1,30.0,0,0,2686,7.2292,0.0,0
320,3,0,28.0,0,0,349245,7.8958,2.0,0
321,2,0,28.0,0,0,230434,13.0,2.0,1
322,3,1,30.0,1,0,65304,19.9667,2.0,0
323,3,1,19.0,0,0,349228,10.1708,2.0,0
324,3,0,30.0,1,1,345773,24.15,2.0,0
325,3,1,20.0,0,0,350050,7.8542,2.0,0
326,3,1,28.0,0,0,1601,56.4958,2.0,0
327,3,1,36.0,0,0,,0.0,2.0,0
328,3,1,30.0,0,0,52466,8.05,2.0,0
329,1,0,24.0,3,2,19950,263.0,2.0,1
330,3,1,28.0,0,0,2697,7.2292,0.0,0
331,3,0,24.0,0,3,2666,19.2583,0.0,1
332,2,1,42.0,0,0,244310,13.0,2.0,0
333,1,1,54.0,0,1,35281,77.2875,2.0,0
334,3,1,25.0,0,0,36864,7.7417,1.0,0
335,3,1,7.0,4,1,3101295,39.6875,2.0,0
336,3,1,25.0,1,0,349237,17.8,2.0,0
337,3,0,27.0,0,1,392096,12.475,2.0,1
338,3,0,24.0,1,0,23101279,15.85,2.0,1
339,3,1,30.0,0,0,323592,7.25,2.0,0
340,2,0,28.0,0,0,240929,12.65,2.0,1
341,3,1,19.0,0,0,358585,14.5,2.0,0
342,3,1,22.0,0,0,521172,7.25,2.0,0
343,3,0,30.0,0,0,2649,7.225,0.0,1
344,3,0,30.0,8,2,2343,69.55,2.0,0
345,1,1,42.0,0,0,17476,26.2875,2.0,1
346,2,1,50.0,0,0,250643,13.0,2.0,0
347,2,1,3.0,1,1,29106,18.75,2.0,1
348,1,1,30.0,0,0,17757,227.525,0.0,0
349,3,0,18.0,2,0,345764,18.0,2.0,0
350,3,1,18.0,1,1,350404,7.8542,2.0,0
351,1,1,44.0,2,0,19928,90.0,1.0,0
352,1,1,30.0,0,0,16988,30.0,2.0,1
353,1,1,30.0,0,0,113796,42.4,2.0,0
354,3,1,30.0,1,0,371110,24.15,1.0,0
355,3,1,16.0,0,0,347074,7.775,2.0,0
