,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Survived
356,3,1,30.0,0,0,265302,7.3125,2.0,0
357,3,1,22.0,0,0,349206,7.8958,2.0,0
358,2,0,4.0,1,1,29103,23.0,2.0,1
359,2,1,30.0,0,0,244373,13.0,2.0,1
360,3,1,24.0,0,0,17369,7.1417,2.0,1
361,2,0,30.0,0,0,234818,12.35,1.0,1
362,3,0,29.0,0,2,2650,15.2458,0.0,1
363,3,1,24.0,0,0,345781,9.5,2.0,0
364,1,0,45.0,1,1,36928,164.8667,2.0,1
365,2,0,32.0,0,0,234604,13.0,2.0,1
366,3,1,21.0,0,0,23101294,7.925,2.0,0
367,1,1,35.0,0,0,17755,512.3292,0.0,1
368,3,0,30.0,8,2,2343,69.55,2.0,0
369,3,1,30.0,2,0,367226,23.25,1.0,1
370,1,1,36.0,0,1,17755,512.3292,0.0,1
371,3,0,41.0,0,5,3101295,39.6875,2.0,0
372,3,0,23.0,0,0,2314,7.55,2.0,1
373,3,1,34.0,1,1,347080,14.4,2.0,0
374,2,0,30.0,0,0,248727,33.0,2.0,1
375,3,1,30.0,0,0,371110,24.15,1.0,0
376,3,0,15.0,0,0,2667,7.225,0.0,1
377,3,1,30.0,0,0,423567,8.05,2.0,0
378,3,0,18.0,0,0,347087,7.775,2.0,0
379,3,1,30.0,0,0,392090,8.05,2.0,0
380,2,1,32.0,2,0,14879,73.5,2.0,0
381,3,1,4.0,4,1,382652,29.125,1.0,0
382,3,1,2.0,4,1,382652,29.125,1.0,0
383,3,1,30.0,0,0,3101316,8.05,2.0,0
384,3,1,30.0,2,0,2662,21.6792,0.0,0
385,1,0,48.0,0,0,17466,25.9292,2.0,1
386,3,1,31.0,0,0,335097,7.75,1.0,0
387,1,1,47.0,0,0,36967,34.0208,2.0,0
388,3,0,26.0,1,0,53336,16.1,2.0,0
389,3,1,9.0,5,2,2144,46.9,2.0,0
390,3,1,19.0,0,0,510482,8.05,2.0,1
391,3,1,30.0,0,0,53235,8.05,2.0,0
392,3,1,22.0,0,0,4348,9.35,2.0,0
393,3,1,30.0,0,0,2631,7.225,0.0,0
394,2,1,28.0,0,1,248727,33.0,2.0,0
395,2,0,24.0,2,3,29106,18.75,2.0,1
396,3,1,17.0,0,0,315090,8.6625,2.0,0
397,3,1,30.0,1,0,370365,15.5,1.0,0
398,3,0,30.0,3,1,4133,25.4667,2.0,0
399,3,1,21.0,0,0,52152,8.05,2.0,0
400,1,1,51.0,0,0,113055,26.55,2.0,1
401,3,0,3.0,3,1,349909,21.075,2.0,0
402,3,0,1.0,2,1,2666,19.2583,0.0,1
403,3,1,30.0,0,0,2629,7.2292,0.0,0
404,3,1,34.0,0,0,363294,8.05,2.0,0
405,2,0,18.0,0,1,231919,23.0,2.0,1
406,1,0,44.0,0,0,17610,27.7208,0.0,1
407,3,1,30.0,0,0,358585,14.5,2.0,0
408,3,1,30.0,0,0,345777,9.5,2.0,0
409,3,0,37.0,0,0,4135,9.5875,2.0,0
410,2,1,21.0,1,0,28134,11.5,2.0,0
411,1,1,36.0,1,0,19877,78.85,2.0,0
412,3,1,32.0,0,0,23101286,7.925,2.0,1
413,3,0,30.0,1,2,6607,23.45,2.0,0
414,3,1,26.0,0,0,347068,7.775,2.0,0
415,1,1,80.0,0,0,27042,30.0,2.0,1
416,3,1,56.0,0,0,511206,8.05,2.0,0
417,2,1,60.0,1,1,29750,39.0,2.0,0
418,3,1,30.0,0,0,334912,7.7333,1.0,0
419,3,1,18.0,0,0,349912,7.775,2.0,0
420,3,0,14.0,1,0,2665,14.4542,0.0,0
421,2,1,19.0,0,0,751,10.5,2.0,1
422,2,0,4.0,2,1,230136,39.0,2.0,1
423,3,1,33.0,0,0,7540,8.6542,2.0,0
424,3,1,21.0,0,0,513032,7.7333,1.0,0
425,3,0,10.0,0,2,345773,24.15,2.0,0
426,2,1,47.0,0,0,237565,15.0,2.0,0
427,3,0,2.0,4,2,347082,31.275,2.0,0
428,2,0,29.0,1,0,2926,26.0,2.0,1
429,1,0,22.0,1,0,113776,66.6,2.0,1
430,3,1,28.0,1,0,23101279,15.85,2.0,0
431,1,1,30.0,0,0,11774,29.7,0.0,1
432,3,1,26.0,0,0,2699,18.7875,0.0,1
433,3,1,33.0,0,0,345780,9.5,2.0,0
434,2,0,27.0,0,0,34218,10.5,2.0,1
435,3,0,27.0,0,2,347742,11.1333,2.0,1
436,2,1,34.0,0,0,12233,13.0,2.0,0
437,3,1,30.0,0,0,2677,7.2292,0.0,1
438,1,1,30.0,0,0,113051,27.75,0.0,0
439,3,1,30.0,1,0,53336,16.1,2.0,0
440,2,0,30.0,0,0,226593,12.35,1.0,1
441,3,1,30.0,0,0,312993,7.775,2.0,0
442,1,0,53.0,2,0,11769,51.4792,2.0,1
443,3,1,32.0,0,0,23101292,7.925,2.0,0
444,2,1,52.0,0,0,250647,13.0,2.0,0
445,1,1,52.0,1,1,110413,79.65,2.0,0
446,3,0,39.0,1,5,347082,31.275,2.0,0
447,1,0,2.0,1,2,113781,151.55,2.0,0
448,3,1,44.0,0,0,23101269,7.925,2.0,1
449,2,1,51.0,0,0,1166,12.525,2.0,0
450,2,1,39.0,0,0,250655,26.0,2.0,0
451,1,1,46.0,0,0,17593,79.2,0.0,0
452,1,1,17.0,0,2,17421,110.8833,0.0,1
453,3,1,30.0,0,0,518509,8.05,2.0,0
454,3,0,9.0,2,2,6608,34.375,2.0,0
455,3,1,27.0,0,0,350043,7.7958,2.0,1
456,3,1,21.0,0,0,315097,8.6625,2.0,0
457,3,1,30.0,0,0,1601,56.4958,2.0,0
458,3,1,26.0,0,0,349248,7.8958,2.0,0
459,3,1,3.0,1,1,37671,15.9,2.0,1
460,2,1,48.0,0,0,234360,13.0,2.0,0
461,1,0,36.0,0,0,17760,135.6333,0.0,1
462,3,0,30.0,1,0,370365,15.5,1.0,1
463,2,0,32.0,0,0,27267,13.0,2.0,1
464,1,0,33.0,0,0,110152,86.5,2.0,1
465,2,0,22.0,1,2,2123,41.5792,0.0,1
466,3,1,19.0,0,0,365222,6.75,1.0,0
467,3,1,74.0,0,0,347060,7.775,2.0,0
468,3,1,42.0,0,1,4579,8.4042,2.0,0
469,1,0,40.0,0,0,17582,153.4625,2.0,1
470,3,0,35.0,1,1,2673,20.25,2.0,1
471,3,0,24.0,0,0,349236,8.85,2.0,0
472,3,1,39.0,0,0,23101289,7.925,2.0,1
473,2,1,32.0,1,0,237736,30.0708,0.0,0
474,2,1,1.0,2,1,230136,39.0,2.0,1
475,3,1,34.0,0,0,3101264,6.4958,2.0,0
476,1,1,64.0,1,4,19950,263.0,2.0,0
477,3,0,25.0,0,0,347071,7.775,2.0,0
478,3,0,30.0,0,0,343095,8.05,2.0,0
479,3,1,1.0,1,2,2315,20.575,2.0,1
480,3,1,45.0,0,0,347061,6.975,2.0,0
481,2,1,31.0,1,1,31921,26.25,2.0,0
482,3,0,21.0,1,0,4137,9.825,2.0,0
483,3,1,25.0,0,0,349203,7.8958,2.0,0
484,1,0,15.0,0,1,24160,211.3375,2.0,1
485,3,1,26.0,0,0,3474,7.8875,2.0,0
486,2,1,30.0,0,0,14208,10.5,2.0,0
487,1,0,24.0,0,0,17477,69.3,0.0,1
488,2,1,35.0,0,0,28206,10.5,2.0,0
489,2,1,70.0,0,0,24580,10.5,2.0,0
490,1,1,30.0,0,0,112058,0.0,2.0,0
491,3,1,21.0,0,0,54636,16.1,2.0,0
492,3,0,18.0,0,1,392091,9.35,2.0,1
493,3,0,30.0,0,0,330935,8.1375,1.0,0
494,3,1,1.0,5,2,2144,46.9,2.0,0
495,3,0,30.0,8,2,2343,69.55,2.0,0
496,3,1,26.0,0,0,1601,56.4958,2.0,1
497,3,1,25.0,1,0,347083,7.775,2.0,1
498,2,1,30.0,0,0,239855,0.0,2.0,0
499,3,1,20.0,0,0,345769,9.5,2.0,0
500,1,0,54.0,1,0,36947,78.2667,0.0,1
501,3,1,22.0,0,0,324669,8.05,2.0,0
502,2,1,59.0,0,0,237442,13.5,2.0,0
503,2,0,54.0,1,3,29105,23.0,2.0,1
504,1,1,27.0,0,0,113804,30.5,2.0,1
505,1,1,31.0,1,0,12750,52.0,2.0,0
506,1,1,22.0,0,0,17760,135.6333,0.0,0
507,1,1,33.0,0,0,695,5.0,2.0,0
508,3,1,6.0,0,1,392096,12.475,2.0,1
509,3,0,5.0,4,2,347077,31.3875,2.0,1
510,1,1,39.0,0,0,112050,0.0,2.0,0
511,3,1,24.0,0,0,342826,8.05,2.0,0
512,2,1,54.0,0,0,29011,14.0,2.0,0
513,3,1,30.0,0,0,751,7.55,2.0,0
514,3,1,30.0,0,0,349222,7.8958,2.0,0
515,3,1,30.0,0,0,2685,7.2292,0.0,0
516,3,0,30.0,0,0,330931,7.8792,1.0,1
517,1,0,35.0,0,0,17755,512.3292,0.0,1
518,1,0,21.0,0,0,13502,77.9583,2.0,1
519,1,1,32.0,0,0,13214,30.5,0.0,1
520,3,1,16.0,0,0,345778,9.5,2.0,0
521,3,0,22.0,0,0,7077,7.25,2.0,1
522,3,1,30.0,0,0,349227,7.8958,2.0,0
523,1,1,38.0,1,0,19943,90.0,2.0,1
524,3,1,30.0,8,2,2343,69.55,2.0,0
525,2,1,25.0,1,0,236853,26.0,2.0,0
526,2,0,33.0,1,2,34651,27.75,2.0,1
527,3,0,30.0,1,0,386525,16.1,2.0,1
528,1,1,18.0,1,0,17758,108.9,0.0,0
529,3,1,30.0,1,0,376564,16.1,2.0,0
530,3,1,30.0,0,0,349217,7.8958,2.0,0
531,3,1,2.0,4,1,3101295,39.6875,2.0,0
532,3,1,0.0,0,1,2625,8.5167,0.0,1
533,2,1,26.0,0,0,31028,10.5,2.0,0
534,3,1,41.0,0,0,23101272,7.125,2.0,0
535,1,1,48.0,1,0,17572,76.7292,0.0,1
536,2,0,48.0,1,2,220845,65.0,2.0,1
537,1,0,48.0,1,0,11755,39.6,0.0,1
538,3,1,4.0,4,2,347082,31.275,2.0,0
539,1,0,39.0,1,0,13507,55.9,2.0,1
540,3,0,33.0,3,0,3101278,15.85,2.0,1
541,2,1,29.0,0,0,14263,10.5,2.0,0
542,1,1,49.0,1,1,17421,110.8833,0.0,0
543,3,1,30.0,8,2,2343,69.55,2.0,0
544,3,1,30.0,0,0,2700,7.2292,0.0,0
545,1,1,42.0,1,0,113789,52.0,2.0,0
546,1,0,36.0,0,2,5735,71.0,2.0,1
547,1,1,61.0,0,0,111240,33.5,2.0,0
548,3,0,18.0,0,0,365226,6.75,1.0,0
549,3,0,18.0,0,0,3101265,7.4958,2.0,1
550,2,1,1.0,1,1,250649,14.5,2.0,1
551,3,1,32.0,0,0,1601,56.4958,2.0,1
552,3,1,30.0,0,0,374910,8.05,2.0,0
553,3,1,30.0,0,0,392082,8.05,2.0,0
554,3,0,30.0,1,0,2665,14.4542,0.0,0
555,3,1,16.0,0,0,420589,8.05,2.0,0
556,1,1,31.0,1,0,17474,57.0,2.0,1
557,1,1,48.0,0,0,19952,26.55,2.0,1
558,3,1,22.0,0,0,2620,7.225,0.0,1
559,3,0,13.0,0,0,2687,7.2292,0.0,1
560,3,1,32.0,1,0,3101278,15.85,2.0,0
561,3,1,28.0,2,0,3101277,7.925,2.0,0
562,2,1,46.0,0,0,28403,26.0,2.0,0
563,3,1,28.0,0,0,350042,7.7958,2.0,0
564,2,1,42.0,1,0,243847,27.0,2.0,0
565,3,1,35.0,0,0,373450,8.05,2.0,0
566,3,0,2.0,3,2,347088,27.9,2.0,0
567,3,0,31.0,0,0,349244,8.6833,2.0,1
568,3,0,30.0,1,0,367230,15.5,1.0,1
569,3,1,30.0,0,0,349201,7.8958,2.0,0
570,2,0,19.0,1,0,2908,26.0,2.0,1
571,3,1,20.0,0,0,315094,8.6625,2.0,0
572,3,1,14.0,5,2,2144,46.9,2.0,0
573,2,0,34.0,0,1,231919,23.0,2.0,1
574,3,0,30.0,0,0,36866,7.7375,1.0,1
575,3,0,30.0,0,0,14312,7.75,1.0,1
576,3,1,51.0,0,0,347064,7.75,2.0,0
577,3,0,30.0,0,0,330909,7.6292,1.0,0
578,3,0,30.0,0,0,14311,7.75,1.0,1
579,3,0,30.0,0,0,335677,7.75,1.0,1
580,3,1,28.0,0,0,345770,9.5,2.0,0
581,2,1,25.0,0,0,29178,13.0,2.0,0
582,1,1,19.0,3,2,19950,263.0,2.0,0
583,3,1,35.0,0,0,349213,7.8958,0.0,0
584,1,0,35.0,1,0,36973,83.475,2.0,1
585,3,1,9.0,1,1,37671,15.9,2.0,1
586,3,1,20.0,0,0,2648,4.0125,0.0,0
587,2,1,42.0,0,0,237798,13.0,2.0,1
588,2,1,30.0,0,0,28228,13.0,2.0,0
589,2,1,30.0,0,0,239856,0.0,2.0,0
590,3,1,21.0,0,0,350034,7.7958,2.0,1
591,3,1,47.0,0,0,53902,7.25,2.0,0
592,1,0,25.0,1,2,113781,151.55,2.0,0
593,3,1,16.0,0,0,7534,9.2167,2.0,0
594,1,1,45.0,1,0,36973,83.475,2.0,0
595,3,1,38.0,0,0,315089,8.6625,2.0,0
596,1,1,56.0,0,0,13213,35.5,0.0,1
597,3,0,30.0,1,1,2668,22.3583,0.0,1
598,1,1,31.0,0,0,17590,50.4958,2.0,0
599,1,0,30.0,0,0,12749,93.5,2.0,1
600,1,1,30.0,0,0,17605,27.7208,0.0,0
601,3,0,14.0,0,0,350406,7.8542,2.0,0
602,3,0,16.0,0,0,35851,7.7333,1.0,1
603,3,0,40.0,1,0,7546,9.475,2.0,0
604,1,1,55.0,0,0,113787,30.5,2.0,0
605,3,1,19.0,0,0,347069,7.775,2.0,0
606,1,1,45.0,0,0,111428,26.55,2.0,1
607,1,0,36.0,1,2,113760,120.0,2.0,1
608,3,0,27.0,0,0,23101283,7.925,2.0,1
609,1,0,49.0,1,0,17572,76.7292,0.0,1
610,1,0,41.0,0,0,16966,134.5,0.0,1
611,1,1,19.0,1,0,113773,53.1,2.0,0
612,3,1,33.0,0,0,347062,7.775,2.0,0
613,1,1,27.0,1,0,113806,53.1,2.0,1
614,1,1,30.0,0,0,17612,27.7208,0.0,0
615,1,1,35.0,0,0,17475,26.2875,2.0,1
616,3,0,29.0,1,1,347054,10.4625,2.0,0
617,2,0,30.0,3,0,31027,21.0,2.0,1
618,3,1,34.0,0,0,364506,8.05,2.0,0
619,3,1,29.0,0,0,349240,7.8958,0.0,1
620,1,0,19.0,0,0,112053,30.0,2.0,1
621,1,0,35.0,0,0,17760,135.6333,2.0,1
622,3,1,30.0,8,2,2343,69.55,2.0,0
623,2,0,40.0,0,0,33595,15.75,2.0,1
624,1,1,62.0,0,0,113807,26.55,2.0,0
625,3,0,25.0,1,0,23101271,7.925,2.0,0
626,3,1,26.0,0,0,341826,8.05,2.0,0
627,3,0,18.0,0,1,2691,14.4542,0.0,0
628,2,1,34.0,1,0,31027,21.0,2.0,0
629,3,1,48.0,0,0,350047,7.8542,2.0,0
630,3,1,28.0,0,0,349207,7.8958,2.0,0
631,3,1,24.0,2,0,448871,24.15,2.0,0
632,2,0,17.0,0,0,1748,12.0,0.0,1
633,1,0,38.0,1,0,17599,71.2833,0.0,1
634,3,1,30.0,0,0,2671,7.2292,0.0,0
635,3,1,40.0,0,0,349251,7.8958,2.0,0
636,3,1,22.0,0,0,345767,9.0,2.0,0
637,3,0,2.0,0,1,347054,10.4625,2.0,0
638,1,1,28.0,1,0,17604,82.1708,0.0,0
639,3,1,18.0,0,0,347078,7.75,2.0,0
640,3,1,28.0,0,0,4001,22.525,2.0,0
641,2,0,19.0,0,0,250655,26.0,2.0,1
642,3,1,30.0,0,0,52817,8.05,2.0,0
643,1,0,60.0,1,0,110813,75.25,0.0,1
644,3,1,20.0,0,0,347466,7.8542,2.0,0
645,1,1,45.0,0,0,113784,35.5,2.0,0
646,3,0,30.0,0,0,392087,8.05,2.0,0
647,2,0,24.0,0,0,248733,13.0,2.0,1
648,3,1,30.0,0,0,383121,7.75,1.0,0
649,3,0,30.0,1,0,367230,15.5,1.0,1
650,3,1,39.0,1,5,347082,31.275,2.0,0
651,3,0,26.0,0,0,347470,7.8542,2.0,1
652,2,0,24.0,2,1,243847,27.0,2.0,1
653,2,0,36.0,0,0,27849,13.0,2.0,1
654,1,1,37.0,0,1,17596,29.7,0.0,0
655,1,0,30.0,0,1,113505,55.0,2.0,1
656,2,1,28.0,0,0,34068,10.5,2.0,0
657,3,1,19.0,0,0,349231,7.8958,2.0,0
658,3,1,43.0,0,0,7075,6.45,2.0,0
659,1,1,25.0,1,0,11967,91.0792,0.0,1
660,3,1,47.0,0,0,345765,9.0,2.0,0
661,1,0,16.0,0,0,110152,86.5,2.0,1
662,2,1,1.0,1,1,29106,18.75,2.0,1
663,3,1,22.0,0,0,23101275,7.125,2.0,0
664,3,1,19.0,0,0,349205,7.8958,2.0,0
665,2,1,28.0,0,0,218629,13.5,2.0,0
666,3,1,14.0,4,1,3101295,39.6875,2.0,0
667,3,1,36.0,0,0,349247,7.8958,2.0,0
668,1,1,29.0,0,0,113501,30.0,2.0,0
669,3,1,42.0,0,0,348121,7.65,2.0,0
670,1,1,30.0,0,0,110465,52.0,2.0,0
671,1,1,27.0,0,0,17572,76.7292,0.0,1
672,3,1,29.0,0,0,382651,7.75,1.0,1
673,2,0,5.0,1,2,34651,27.75,2.0,1
674,3,0,22.0,0,0,7553,9.8375,2.0,0
675,3,1,30.0,0,0,372622,7.75,1.0,0
676,2,0,30.0,0,0,250648,13.0,2.0,1
677,1,1,62.0,0,0,113514,26.55,2.0,0
678,2,1,34.0,0,0,248698,13.0,2.0,1
679,3,1,28.0,0,0,349243,7.8958,2.0,0
680,3,1,30.0,0,0,371060,7.75,1.0,0
681,3,1,44.0,0,1,371362,16.1,2.0,0
682,3,0,45.0,0,0,347073,7.75,2.0,0
683,2,1,19.0,0,0,28424,13.0,2.0,0
684,2,1,18.0,0,0,14879,73.5,2.0,0
685,3,1,31.0,0,0,347063,7.775,2.0,0
686,2,1,30.0,0,0,239853,0.0,2.0,0
687,3,1,21.0,0,0,3101317,7.25,2.0,0
688,2,1,25.0,0,0,244361,13.0,2.0,0
689,3,1,32.0,0,0,8471,8.3625,2.0,0
690,2,1,30.0,1,0,3381,24.0,0.0,0
691,3,1,40.0,0,0,2623,7.225,0.0,0
692,3,1,33.0,0,0,349241,7.8958,0.0,0
693,3,1,36.0,0,0,349210,7.4958,2.0,0
694,1,0,47.0,1,1,11751,52.5542,2.0,1
695,2,1,34.0,1,0,244367,26.0,2.0,0
696,3,1,19.0,0,0,323951,8.05,2.0,0
697,3,1,30.0,0,0,392086,8.05,2.0,0
698,2,0,50.0,0,0,13531,10.5,2.0,1
699,3,0,30.0,2,0,367226,23.25,1.0,1
700,3,1,30.0,1,0,367229,7.75,1.0,0
701,2,1,30.0,0,0,239853,0.0,2.0,0
702,3,1,30.0,0,0,454510,8.05,2.0,0
703,3,1,35.0,0,0,364512,8.05,2.0,0
704,2,1,35.0,0,0,239865,26.0,2.0,0
705,1,0,18.0,1,0,17757,227.525,0.0,1
706,3,0,16.0,5,2,2144,46.9,2.0,0
707,3,0,21.0,0,0,343120,7.65,2.0,1
708,1,1,30.0,0,0,113798,31.0,2.0,0
709,3,1,41.0,2,0,350026,14.1083,2.0,0
710,1,0,14.0,1,2,113760,120.0,2.0,1
711,1,1,21.0,0,1,35281,77.2875,2.0,0
